"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_ID","GeneName","PANTHER_Family_Subfamily","PANTHER_Protein_Class","NA"
"1","Agap2","ENSMUSG00000025422.11",7882.52726127279,0.259771770381233,0.062766676051918,4.13868929695052,3.49295606858795e-05,0.0166875976176789,"MOUSE|MGI=MGI=3580016|UniProtKB=Q3UHD9","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2;Agap2;PTN000572028;orthologs","ARF-GAP WITH GTPASE, ANK REPEAT AND PH DOMAIN-CONTAINING PROTEIN 2 (PTHR45819:SF3)","GTPase-activating protein(PC00257)","Mus musculus"
"2","Cyp51","ENSMUSG00000001467.6",1186.5871794517,0.512764859633603,0.102970612957636,4.97972037754661,6.36762072208972e-07,0.000973481855993076,"MOUSE|MGI=MGI=106040|UniProtKB=Q8K0C4","Lanosterol 14-alpha demethylase;Cyp51a1;PTN000669486;orthologs","LANOSTEROL 14-ALPHA DEMETHYLASE (PTHR24286:SF24)","oxygenase(PC00177)","Mus musculus"
"3","Dhcr24","ENSMUSG00000034926.4",983.547055559982,0.415127741690174,0.0911138645859109,4.55614240024636,5.21016214430729e-06,0.00531019725747799,"MOUSE|MGI=MGI=1922004|UniProtKB=Q8VCH6","Delta(24)-sterol reductase;Dhcr24;PTN000085822;orthologs","DELTA(24)-STEROL REDUCTASE (PTHR10801:SF0)","reductase(PC00198)","Mus musculus"
"4","Dkk3","ENSMUSG00000030772.7",1480.81009547594,-0.361116738194187,0.0769224623090605,-4.69455510593623,2.6718757983568e-06,0.00340396976710657,"MOUSE|MGI=MGI=1354952|UniProtKB=Q9QUN9","Dickkopf-related protein 3;Dkk3;PTN000787775;orthologs","DICKKOPF-RELATED PROTEIN 3 (PTHR12113:SF8)","membrane trafficking regulatory protein(PC00151)","Mus musculus"
"5","Eif4b","ENSMUSG00000058655.10",2364.01572446042,-0.350328761444895,0.0641926909080808,-5.45745561510329,4.83005835436343e-08,0.000147683864243016,"MOUSE|MGI=MGI=95304|UniProtKB=Q8BGD9","Eukaryotic translation initiation factor 4B;Eif4b;PTN000579876;orthologs","EUKARYOTIC TRANSLATION INITIATION FACTOR 4B (PTHR23236:SF2)","translation initiation factor(PC00224)","Mus musculus"
"6","ENSMUSG00000138098","ENSMUSG00000138098.1",136.557523496559,3.18428219276598,0.760690599322793,4.18604120466428,2.83861840000521e-05,0.0149161755976504,NA,NA,NA,NA,NA
"7","ENSMUSG00000141158","ENSMUSG00000141158.1",164.038981095026,1.85908382799255,0.428059610286889,4.34304891962729,1.40518828539342e-05,0.00934022543786719,NA,NA,NA,NA,NA
"8","Epha10","ENSMUSG00000028876.8",144.915512511485,1.23428018389473,0.306759251249824,4.02361193302542,5.73123257099094e-05,0.0244625073741027,"MOUSE|MGI=MGI=3586824|UniProtKB=Q8BYG9","Ephrin type-A receptor 10;Epha10;PTN000700223;orthologs","EPHRIN TYPE-A RECEPTOR 10 (PTHR46877:SF16)","transmembrane signal receptor(PC00197)","Mus musculus"
"9","Fcrl2","ENSMUSG00000015852.14",131.694502638531,1.0399182747957,0.262779219726587,3.95738398141869,7.5775070669625e-05,0.0304855073788744,"MOUSE|MGI=MGI=1933397|UniProtKB=Q9EQY5","Fc receptor-like S, scavenger receptor;Fcrl2;PTN000159532;orthologs","FC RECEPTOR-LIKE S, SCAVENGER RECEPTOR (PTHR11481:SF69)","immunoglobulin receptor superfamily(PC00124)","Mus musculus"
"10","Fcrl2","ENSMUSG00000015852.14",131.694502638531,1.0399182747957,0.262779219726587,3.95738398141869,7.5775070669625e-05,0.0304855073788744,"MOUSE|MGI=MGI=3576487|UniProtKB=Q5DRQ8","Fc receptor-like B;Fcrlb;PTN000159474;orthologs","FC RECEPTOR-LIKE B (PTHR11481:SF94)","immunoglobulin receptor superfamily(PC00124)","Mus musculus"
"11","Fdft1","ENSMUSG00000021273.12",985.460286267102,0.648837598921272,0.0931016461054364,6.96913133186143,3.18903897900065e-12,2.4377013955481e-08,"MOUSE|MGI=MGI=102706|UniProtKB=P53798","Squalene synthase;Fdft1;PTN000179309;orthologs","SQUALENE SYNTHASE (PTHR11626:SF2)","transferase(PC00220)","Mus musculus"
"12","Fdps","ENSMUSG00000059743.13",639.681587551411,0.603586939096054,0.111760747895894,5.40070597646951,6.63791454921475e-08,0.000169134062713992,"MOUSE|MGI=MGI=104888|UniProtKB=Q920E5","Farnesyl pyrophosphate synthase;Fdps;PTN000162970;orthologs","FARNESYL PYROPHOSPHATE SYNTHASE (PTHR11525:SF0)","acyltransferase(PC00042)","Mus musculus"
"13","Gfap","ENSMUSG00000020932.15",2255.82521340685,0.39983368950553,0.0931074000181461,4.29432772720111,1.75223478497051e-05,0.0111617355802622,"MOUSE|MGI=MGI=95697|UniProtKB=P03995","Glial fibrillary acidic protein;Gfap;PTN000581574;orthologs","GLIAL FIBRILLARY ACIDIC PROTEIN (PTHR45652:SF9)","intermediate filament(PC00129)","Mus musculus"
"14","Gm17081","ENSMUSG00000090338.3",182.793179045092,-0.855110370910677,0.193255552126826,-4.42476483340309,9.65473977987859e-06,0.00738008308773919,NA,NA,NA,NA,NA
"15","Gm17167","ENSMUSG00000091542.2",318.97490940129,-0.788340310568648,0.176442243006352,-4.46797941998656,7.89619002810633e-06,0.00725860369597084,NA,NA,NA,NA,NA
"16","Gm19410","ENSMUSG00000109372.2",120.885463613728,1.07146016708421,0.250650817319979,4.27471244075936,1.91384144561942e-05,0.0117035232082519,NA,NA,NA,NA,NA
"17","Gm42429","ENSMUSG00000105373.2",38.4993167630087,20.4015528486865,1.94764265520205,10.4749979644341,1.1254002508613e-25,1.72051190351675e-21,NA,NA,NA,NA,NA
"18","Gm43980","ENSMUSG00000107962.2",73.8766590525533,1.74287279400764,0.391397284145125,4.45295065808736,8.46982236750833e-06,0.00725860369597084,NA,NA,NA,NA,NA
"19","Gm49601","ENSMUSG00000116594.3",171.366240678431,4.51967024502321,0.972275602945884,4.64854844791859,3.34279110987572e-06,0.00393112234521385,NA,NA,NA,NA,NA
"20","Gm6145","ENSMUSG00000110080.4",174.949904206922,0.920850955347032,0.216080382272477,4.26161295006336,2.02956731078231e-05,0.0119338557874,NA,NA,NA,NA,NA
"21","Hmgcs1","ENSMUSG00000093930.3",5157.46823364437,0.506300117273659,0.100455632309417,5.04003713514227,4.65441523346165e-07,0.000790630000990686,"MOUSE|MGI=MGI=107592|UniProtKB=Q8JZK9","Hydroxymethylglutaryl-CoA synthase, cytoplasmic;Hmgcs1;PTN000222458;orthologs","HYDROXYMETHYLGLUTARYL-COA SYNTHASE, CYTOPLASMIC (PTHR43323:SF4)","","Mus musculus"
"22","Idh1","ENSMUSG00000025950.17",1699.06781066849,0.299974401363888,0.0710358919071116,4.22285683068698,2.4122506135246e-05,0.0136586990294682,"MOUSE|MGI=MGI=96413|UniProtKB=O88844","Isocitrate dehydrogenase [NADP] cytoplasmic;Idh1;PTN000214340;orthologs","ISOCITRATE DEHYDROGENASE [NADP], MITOCHONDRIAL (PTHR11822:SF21)","dehydrogenase(PC00092)","Mus musculus"
"23","Idi1","ENSMUSG00000058258.16",718.671431131039,0.680353065289878,0.142997852409013,4.75778519626913,1.9572861325779e-06,0.00272027185407736,"MOUSE|MGI=MGI=2442264|UniProtKB=P58044","Isopentenyl-diphosphate Delta-isomerase 1;Idi1;PTN000094462;orthologs","ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE 1 (PTHR10885:SF5)","isomerase(PC00135)","Mus musculus"
"24","Lrp1b","ENSMUSG00000049252.18",441.596929127648,0.863461923436444,0.208519914693216,4.1409086739116,3.45932682232585e-05,0.0166875976176789,"MOUSE|MGI=MGI=2151136|UniProtKB=Q9JI18","Low-density lipoprotein receptor-related protein 1B;Lrp1b;PTN000056443;orthologs","LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 1B (PTHR22722:SF5)","","Mus musculus"
"25","Msmo1","ENSMUSG00000031604.11",689.842572948566,0.759834052699289,0.124592857424892,6.0985362114946,1.07044150593168e-09,5.45496991422782e-06,"MOUSE|MGI=MGI=1913484|UniProtKB=Q9CRA4","Methylsterol monooxygenase 1;Msmo1;PTN000221365;orthologs","METHYLSTEROL MONOOXYGENASE 1 (PTHR11863:SF225)","oxidase(PC00175)","Mus musculus"
"26","Mtmr3","ENSMUSG00000034354.19",953.271325777273,-0.3800974404549,0.0823607617556863,-4.61503065722505,3.93037294477924e-06,0.00429196725569893,NA,NA,NA,NA,NA
"27","Mvd","ENSMUSG00000006517.6",249.932260598209,0.85219386891374,0.159372458565723,5.34718405289773,8.93331629989318e-08,0.000195103627989667,"MOUSE|MGI=MGI=2179327|UniProtKB=Q99JF5","Diphosphomevalonate decarboxylase;Mvd;PTN000104619;orthologs","DIPHOSPHOMEVALONATE DECARBOXYLASE (PTHR10977:SF3)","decarboxylase(PC00089)","Mus musculus"
"28","Mvk","ENSMUSG00000041939.15",199.953766608947,0.698158193163172,0.157769353581201,4.42518256756272,9.63607546911695e-06,0.00738008308773919,"MOUSE|MGI=MGI=107624|UniProtKB=Q9R008","Mevalonate kinase;Mvk;PTN000048572;orthologs","MEVALONATE KINASE (PTHR43290:SF2)","carbohydrate kinase(PC00065)","Mus musculus"
"29","Nsdhl","ENSMUSG00000031349.5",373.019022823891,0.701600029995764,0.134429419812271,5.21909587183773,1.79798679529773e-07,0.000343595276581396,NA,NA,NA,NA,NA
"30","Padi2","ENSMUSG00000028927.7",170.550059552958,0.956032293444596,0.228766758101997,4.1790699897856,2.92703602779639e-05,0.0149161755976504,"MOUSE|MGI=MGI=1338892|UniProtKB=Q08642","Protein-arginine deiminase type-2;Padi2;PTN000089799;orthologs","PROTEIN-ARGININE DEIMINASE TYPE-2 (PTHR10837:SF12)","chromatin/chromatin-binding, or -regulatory protein(PC00077)","Mus musculus"
"31","Pclo","ENSMUSG00000061601.16",2704.30641848918,0.316495296854739,0.0787676431111938,4.01808768618293,5.86723649284654e-05,0.0244625073741027,"MOUSE|MGI=MGI=1349390|UniProtKB=Q9QYX7","Protein piccolo;Pclo;PTN000364358;orthologs","PROTEIN PICCOLO (PTHR14113:SF6)","","Mus musculus"
