"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_ID","GeneName","PANTHER_Family_Subfamily","PANTHER_Protein_Class","NA"
"1","Agap2","ENSMUSG00000025422.11",7882.52726127279,0.847743011662703,0.153662810490755,5.51690424609088,3.45023295987639e-08,0.000157002850839175,"MOUSE|MGI=MGI=3580016|UniProtKB=Q3UHD9","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2;Agap2;PTN000572028;orthologs","ARF-GAP WITH GTPASE, ANK REPEAT AND PH DOMAIN-CONTAINING PROTEIN 2 (PTHR45819:SF3)","GTPase-activating protein(PC00257)","Mus musculus"
"2","Atp6v1g2","ENSMUSG00000024403.17",2536.64066718946,0.870863520003765,0.17723516566877,4.91360457005072,8.94170059180193e-07,0.00140017105363093,"MOUSE|MGI=MGI=1913487|UniProtKB=Q9WTT4","V-type proton ATPase subunit G 2;Atp6v1g2;PTN000295534;orthologs","V-TYPE PROTON ATPASE SUBUNIT G 2 (PTHR12713:SF13)","ATP synthase(PC00002)","Mus musculus"
"3","Cpne6","ENSMUSG00000022212.16",2667.96191917018,1.68614602800224,0.341544681478208,4.93682413880545,7.94050126361927e-07,0.00140017105363093,"MOUSE|MGI=MGI=1334445|UniProtKB=Q9Z140","Copine-6;Cpne6;PTN000092080;orthologs","COPINE-6 (PTHR10857:SF5)","calcium-binding protein(PC00060)","Mus musculus"
"4","Ctxnd1","ENSMUSG00000097789.3",780.384399969946,2.3038314630173,0.465628001831712,4.9477940629738,7.5059258493362e-07,0.00140017105363093,NA,NA,NA,NA,NA
"5","Cyp51","ENSMUSG00000001467.6",1186.5871794517,1.0034960650032,0.253456573561432,3.95924260674176,7.5187829027955e-05,0.0402520254107893,"MOUSE|MGI=MGI=106040|UniProtKB=Q8K0C4","Lanosterol 14-alpha demethylase;Cyp51a1;PTN000669486;orthologs","LANOSTEROL 14-ALPHA DEMETHYLASE (PTHR24286:SF24)","oxygenase(PC00177)","Mus musculus"
"6","Dbndd2","ENSMUSG00000017734.16",478.369252505588,1.44679975233926,0.303269575993408,4.77067225619331,1.83612087621781e-06,0.0022280714792611,"MOUSE|MGI=MGI=106562|UniProtKB=Q9CRD4","Dysbindin domain-containing protein 2;Dbndd2;PTN000418417;orthologs","DYSBINDIN DOMAIN-CONTAINING PROTEIN 2 (PTHR16294:SF7)","","Mus musculus"
"7","Dhcr24","ENSMUSG00000034926.4",983.547055559982,1.04369444405954,0.225085363271883,4.63688277588645,3.53702870806419e-06,0.00378711744377555,"MOUSE|MGI=MGI=1922004|UniProtKB=Q8VCH6","Delta(24)-sterol reductase;Dhcr24;PTN000085822;orthologs","DELTA(24)-STEROL REDUCTASE (PTHR10801:SF0)","reductase(PC00198)","Mus musculus"
"8","Eif4b","ENSMUSG00000058655.10",2364.01572446042,-0.842648552782284,0.159342682318056,-5.28827895027091,1.23472583054253e-07,0.00037457465945892,"MOUSE|MGI=MGI=95304|UniProtKB=Q8BGD9","Eukaryotic translation initiation factor 4B;Eif4b;PTN000579876;orthologs","EUKARYOTIC TRANSLATION INITIATION FACTOR 4B (PTHR23236:SF2)","translation initiation factor(PC00224)","Mus musculus"
"9","ENSMUSG00000136369","ENSMUSG00000136369.1",13.0684016343863,-15.1394063570881,3.81368090478273,-3.96976221531849,7.19443935497497e-05,0.0396827833755316,NA,NA,NA,NA,NA
"10","Erhrt-ps","ENSMUSG00000063412.5",22.3066223259623,-28.072473478365,6.10596901858972,-4.59754600668591,4.27496249863788e-06,0.00412294033879828,NA,NA,NA,NA,NA
"11","Fcrl2","ENSMUSG00000015852.14",131.694502638531,2.67610861428829,0.648584875454756,4.12607311018768,3.69010001937009e-05,0.0239882859116337,"MOUSE|MGI=MGI=3576487|UniProtKB=Q5DRQ8","Fc receptor-like B;Fcrlb;PTN000159474;orthologs","FC RECEPTOR-LIKE B (PTHR11481:SF94)","immunoglobulin receptor superfamily(PC00124)","Mus musculus"
